Designator,Mid X,Mid Y,Layer,Rotation
C1, 8.66, 2.11,Bottom,0.0
C2, 8.68, 3.56,Bottom,0.0
C3,-10.51, 7.61,Bottom,180.0
C4,-9.92, 2.43,Bottom,180.0
C5,-9.88,19.98,Bottom,0.0
C6,-7.67,24.39,Bottom,90.0
C9, 0.13,21.66,Bottom,135.0
C10, 2.82,24.35,Bottom,135.0
C11,10.40,13.98,Bottom,315.0
C12, 2.29,23.82,Bottom,135.0
C13, 1.64,16.41,Bottom,180.0
C14,10.75,23.03,Bottom,45.0
C15, 7.53,25.92,Bottom,45.0
C16,10.94,14.52,Bottom,315.0
C17,-0.50,19.45,Bottom,180.0
C18,-0.53,20.25,Bottom,180.0
C19,12.83,13.72,Bottom,135.0
C20,12.65,17.90,Bottom,225.0
C21, 0.66,22.19,Bottom,135.0
C22,10.10,-11.03,Bottom,160.0
C23,-20.39,25.86,Bottom,0.0
C24, 6.73,32.47,Bottom,270.0
D3,-6.68,-15.07,Bottom,270.0
J1, 0.00,35.00,Bottom,0.0
LED0,-6.93,33.98,Bottom,0.0
Q1,13.24,-1.83,Bottom,270.0
Q2,-16.63,29.25,Bottom,180.0
R1,-8.02, 1.42,Bottom,180.0
R2,-8.16,-0.06,Bottom,180.0
R3,-2.91,25.74,Bottom,180.0
R4, 2.50,26.36,Bottom,0.0
R5,18.52,31.37,Bottom,180.0
R6,18.52,32.23,Bottom,0.0
R7, 1.75,23.27,Bottom,135.0
R8, 1.21,22.72,Bottom,135.0
R9,-6.96,32.11,Bottom,180.0
R10,11.52,15.16,Bottom,315.0
R11,13.27, 0.61,Bottom,180.0
R12,15.38,-2.45,Bottom,90.0
R13,-13.39,28.36,Bottom,90.0
R14,-19.29,28.96,Bottom,90.0
R15,19.66,30.04,Bottom,90.0
SD1,-9.83,29.26,Bottom,0.0
U2,-9.16, 5.03,Bottom,270.0
U3, 6.32,20.04,Bottom,225.0
U4,-13.19,23.90,Bottom,180.0
U5,12.34,30.25,Bottom,180.0
Y1,13.82,15.75,Bottom,225.0
