Comment,Designator,Footprint,LCSC Part #
,CN3,S8B-PH-K-S_ALTPAD,
,CN5,B6B-PH-K-S_ALTPAD_TOP,
,CN7,S6B-PH-K-S_ALTPAD,
,D3,SOD-123,C2128
,SD1,SOD-123,C8598
1k,R5 R9 R10,RESC1005X40,C11702
1u,C4 C9 C21,CAPC1005X60,C52923
4.7u,C1,CAPC1005X60,C23733
5.1k,R3 R4,RESC1005X40,C25905
10k,R2 R6 R11 R12 R13 R14 R15,RESC1005X40,C25744
10u,C5 C6,CAPC1005X60,C15525
27,R7 R8,RESC1005X40,C25100
27p,C19 C20,CAPC1005X60,C1557
39,R1,RESC1005X40,C25110
100n,C2 C3 C10 C11 C12 C13 C14 C15 C16 C17 C18 C22 C23 C24,CAPC1005X60,C1525
AMS1117-3.3,U4,SOT229P700X180-4N,C6186 
BSS138,Q1 Q2,SOT95P240X111-3N,C2938375
LED_RED,LED0,LEDC1608X65N_RND,C2290
RP2040,U3,QFN40P700X700X90-57N,C2040
TCR2EF19,U2,SC-74A SOT-753,C146366
TYPE-C-31-M-12,J1,HRO_TYPE-C-31-M-12,C165948
W25Q128JVSIQ,U5,SOIC127P790X216-8N,C97521
X322512MSB4SI,Y1,OSC_X322516MLB4SI,C9002
