Designator,Mid X,Mid Y,Layer,Rotation
C1, 7.59, 2.59,Bottom,90.0
C2, 7.58, 0.48,Bottom,270.0
C3,-7.04, 8.24,Bottom,0.0
C4,-9.57, 2.63,Bottom,270.0
C5,-9.45,32.62,Bottom,0.0
C6,-9.28,28.57,Bottom,0.0
C9, 1.79,23.57,Bottom,135.0
C10, 4.31,26.44,Bottom,135.0
C11,11.80,15.40,Bottom,315.0
C12, 9.68,27.27,Bottom,45.0
C13,11.70,24.39,Bottom,45.0
C14,11.90,16.37,Bottom,315.0
C15, 2.17,17.43,Bottom,180.0
C16, 0.96,21.10,Bottom,180.0
C17, 3.99,25.69,Bottom,135.0
C18, 0.98,22.19,Bottom,180.0
C19,14.00,15.36,Bottom,135.0
C20,13.30,20.17,Bottom,225.0
C21, 2.32,24.11,Bottom,135.0
C22,-20.30,26.54,Bottom,0.0
C23, 7.13,-10.56,Bottom,250.0
C24, 6.61,33.27,Bottom,180.0
CN3,-15.75, 0.00,Bottom,270.0
CN5,13.22,-11.20,Bottom,250.0
CN7,-15.05,-13.75,Bottom,0.0
D3,-6.73,-13.78,Bottom,270.0
J1, 0.00,35.00,Bottom,0.0
LED0,-6.93,33.98,Bottom,0.0
Q1,11.88, 0.68,Bottom,270.0
Q2,-16.93,22.48,Bottom,90.0
R1,-7.76, 2.52,Bottom,270.0
R2,-7.48,-3.69,Bottom,90.0
R3,-3.87,26.81,Bottom,180.0
R4, 5.70,31.67,Bottom,90.0
R5,18.55,31.78,Bottom,90.0
R6,17.64,32.77,Bottom,90.0
R7, 3.40,25.20,Bottom,135.0
R8, 2.86,24.65,Bottom,135.0
R9,-7.25,32.45,Bottom,180.0
R10,12.44,16.91,Bottom,315.0
R11,11.88, 3.35,Bottom,180.0
R12,14.11,-0.93,Bottom,90.0
R13,-16.85,20.03,Bottom,0.0
R14,-16.87,24.87,Bottom,0.0
R15,18.53,29.86,Bottom,90.0
SD1,-7.72,30.20,Bottom,0.0
U2,-8.59, 5.66,Bottom,270.0
U3, 7.64,21.39,Bottom,225.0
U4,-14.72,30.27,Bottom,180.0
U5,12.15,31.49,Bottom,180.0
Y1,14.37,17.94,Bottom,225.0
